Model;Dataset;PR AUC;F1 Score;Accuracy;Precision;Recall
Random Forest;Test;0.9820272275436217;0.9255663430420712;0.9272151898734177;0.9407894736842105;0.910828025477707
Random Forest;Validation;0.9765399626475925;0.9368421052631579;0.9387755102040817;0.967391304347826;0.9081632653061225
KNN;Test;0.9755190970483624;0.9215686274509803;0.9240506329113924;0.9463087248322147;0.8980891719745223
KNN;Validation;0.976575831663665;0.925531914893617;0.9285714285714286;0.9666666666666667;0.8877551020408163
SVM;Test;0.9868975271745299;0.9311475409836065;0.9335443037974683;0.9594594594594594;0.9044585987261147
SVM;Validation;0.9792213675832371;0.9230769230769231;0.9285714285714286;1.0;0.8571428571428571
